Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 24 s using 10357 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  biolink:affects_response_to  ?a  ?b  increased_secretion_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.166666667	0.2	1	6	5	?a
?a  increased_transport_biolink:affects  ?b  ?b  metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.000099852	0.065789474	0.087719298	5	76	57	?a
?a  decreased_expression_biolink:affects  ?b  ?b  metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.333333333	0.333333333	1	3	3	?a
?b  abundance_biolink:affects  ?a  ?a  decreased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00045932	0.58974359	0.657142857	23	39	35	?a
?b  abundance_biolink:affects  ?a  ?a  decreased_abundance_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000099852	0.294117647	0.294117647	5	17	17	?a
?b  abundance_biolink:affects  ?a  ?a  decreased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000099852	0.294117647	0.294117647	5	17	17	?a
?b  abundance_biolink:affects  ?a  ?a  increased_molecular_interaction_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000059911	0.6	0.6	3	5	5	?a
?b  abundance_biolink:affects  ?a  ?a  increased_expression_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000039941	0.166666667	0.166666667	2	12	12	?a
?b  abundance_biolink:affects  ?a  ?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	1	1	1	1	1	?a
?b  abundance_biolink:affects  ?a  ?a  biolink:binds  ?b   => ?a  increased_activity_biolink:affects  ?b	0.000639054	0.367816092	0.463768116	32	87	69	?a
?b  abundance_biolink:affects  ?a  ?a  increased_localization_biolink:affects  ?b   => ?a  increased_activity_biolink:affects  ?b	0.00001997	0.5	0.5	1	2	2	?a
