Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 37 s using 10313 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  abundance_biolink:affects  ?a  ?a  decreased_abundance_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000083567	0.294117647	0.294117647	5	17	17	?a
?b  abundance_biolink:affects  ?a  ?a  increased_localization_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.5	0.5	1	2	2	?a
?b  abundance_biolink:affects  ?a  ?a  decreased_degradation_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	1	1	1	1	1	?a
?b  abundance_biolink:affects  ?a  ?b  increased_abundance_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.00005014	0.142857143	0.1875	3	21	16	?a
?b  abundance_biolink:affects  ?a  ?b  increased_synthesis_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.00005014	0.142857143	0.1875	3	21	16	?a
?b  abundance_biolink:affects  ?a  ?a  biolink:directly_physically_interacts_with  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.002958283	0.153246753	0.223767383	177	1155	791	?a
?b  abundance_biolink:affects  ?a  ?b  increased_uptake_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	1	1	1	1	1	?a
?b  abundance_biolink:affects  ?a  ?a  biolink:interacts_with  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.001236796	0.4625	0.592	74	160	125	?a
?b  abundance_biolink:affects  ?a  ?b  increased_activity_or_abundance_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.00005014	0.130434783	0.176470588	3	23	17	?a
?b  abundance_biolink:affects  ?a  ?b  decreased_metabolic_processing_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.2	0.2	1	5	5	?a
?a  biolink:affects_response_to  ?b  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000100281	0.039215686	0.076923077	6	153	78	?a
?b  abundance_biolink:affects  ?a  ?a  biolink:related_to  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.25	0.333333333	1	4	3	?a
?b  activity_or_abundance_biolink:affects  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.052631579	0.333333333	1	19	3	?a
?b  abundance_biolink:affects  ?a  ?a  decreased_activity_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000685252	0.089130435	0.143859649	41	460	285	?a
?a  biolink:decreases_response_to  ?b  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000033427	0.027777778	0.095238095	2	72	21	?a
?b  abundance_biolink:affects  ?a  ?a  decreased_activity_or_abundance_biolink:affects  ?b   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000752106	0.095541401	0.152027027	45	471	296	?a
?a  biolink:binds  ?b  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000033427	1	1	2	2	2	?a
?b  abundance_biolink:affects  ?a  ?b  biolink:related_to  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	1	1	1	1	1	?a
?a  decreased_molecular_interaction_biolink:affects  ?b  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.5	0.5	1	2	2	?a
?b  abundance_biolink:affects  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.25	0.333333333	1	4	3	?a
?a  biolink:interacts_with  ?b  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.125	0.125	1	8	8	?a
?a  biolink:related_to  ?b  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	0.166666667	0.333333333	1	6	3	?a
?b  decreased_secretion_biolink:affects  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	1	1	1	1	1	?a
?b  decreased_transport_biolink:affects  ?a  ?b  increased_transport_biolink:affects  ?a   => ?a  increased_activity_or_abundance_biolink:affects  ?b	0.000016713	1	1	1	1	1	?a
