Using the default schema relations
Assuming rdf:type as type relation
Warning: Both -mins and -minhc are set but only the default pruning metric will be used
Loading files... 
  Starting robokop-biolink3-augmented.txt
  Finished robokop-biolink3-augmented.txt, still running: 0
Loaded 19034719 facts in 1 min, 27 s using 10275 MB
Using HeadCoverage as pruning metric with minimum threshold 0.0
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
No minimum threshold on PCA confidence
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  increased_abundance_biolink:affects  ?a  ?a  increased_activity_or_abundance_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.076923077	0.125	1	13	8	?a
?b  increased_abundance_biolink:affects  ?a  ?a  increased_activity_biolink:affects  ?b   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.142857143	0.2	1	7	5	?a
?a  increased_transport_biolink:affects  ?b  ?b  transport_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000005558	0.111111111	0.142857143	2	18	14	?a
?a  increased_activity_or_abundance_biolink:affects  ?b  ?b  transport_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.166666667	0.2	1	6	5	?a
?a  decreased_molecular_interaction_biolink:affects  ?b  ?b  transport_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	1	1	1	1	1	?a
?a  increased_activity_biolink:affects  ?b  ?b  transport_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.5	1	1	2	1	?a
?a  increased_activity_biolink:affects  ?b  ?b  increased_synthesis_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.2	0.2	1	5	5	?a
?a  increased_activity_or_abundance_biolink:affects  ?b  ?b  increased_synthesis_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.125	0.125	1	8	8	?a
?b  biolink:affects_response_to  ?a  ?b  decreased_molecular_interaction_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	1	1	1	1	1	?a
?b  biolink:affects_response_to  ?a  ?b  decreased_activity_or_abundance_biolink:affects  ?a   => ?a  decreased_activity_biolink:affects  ?b	0.000002779	0.166666667	0.333333333	1	6	3	?a
